"Площадь, м2",Количество спален,Участок,Адрес,Телефоны,Описание,Цена,Можно с детьми/животными,Дополнительно,Ссылка на объявление,Широта,Долгота
110,5.0,"15.0, сот.","Московская область, Раменский городской округ, с. Зеленая Слобода, 27, шоссе Каширское , шоссе Володарское","+79670483458, +79661597803","Я СОБСТВЕННИК! 

НОВЫЙ ГОД С 31 12 ПО 2 01 2025Г -  150000Р  до 10чел
СПЕШИТЕ ЗАРЕЗЕРВИРОВАТЬ 
Уютный дом 75м (8 спальных мест) плюс дополнительно при  необходимости гостевой домик  ( еще 8 спальных мест )  
шикарная  зона барбекю  из кирпичной кладки ,  отдельная зона отдыха со скамейками и костровищем  подойдёт как для семейного отдыха, так и для компании до 16 человек. От собственника. 
В будни с воскресенья  до пятницы 10000р  до 5 человек 
С каждого  следующего плюс 1000р
С пятницы  до субботы 13000 до 5 человек
С субботы до воскресенья 17000р до 5 человек
С каждого   следующего   человека  плюс 1000р 
В доме 3 спальни, гостиная, кухня,  санузел, душевая,   
Так же на территории беседка с мангалом, тандыр,  казан 12 литров, с прочными столами, стульями , розетками и с  разным освещением
на улице отдельный игровой детский  комплекс с качелями , ватрушкой,  кольцами , сетка для лазания  и горкой длиной 3 метра, детская песочница.  
 качели с нагрузкой 350 кг в стиле лофт
Новая баня  ..., 31 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/291952006,55.531448,37.998009
550,3.0,"21.0, сот.","Московская область, Одинцовский городской округ, дом Маслово, шоссе Новорижское , шоссе Рублево-Успенское","+79163706582, +79629484617","ТОП: 24

Сдается брутальный стильный коттедж площадью 550 кв.м., расположенный в закрытой ухоженной территории 21 га посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 30 км от МКАД по Рублево-Успенскому шоссе

УЧАСТОК: ландшафтный дизайн, охраняемая территория 21 га; реликтовый сосновый лес, красивейшая природа, чистый воздух. Приватность и уединение. На территории имеются 2 теннисных корта (грунтовой и крытый), отдельно стоящий СПА-комплекс, футбольное поле (зимой функционирует как каток), 3 банкетных площадки, конференц-зал, кинотеатр, сигарная комната. Вертолетная площадка.

В ДОМЕ: панорамное остекление; 3 изолированных больших спальни, до 10 спальных мест (по запросу +2 спальных места), приватный кабинет с рабочим пространством, гардеробная комната; зимний сад, терраса с выходом в лес; джакузи с видом на лес. Каминный зал  гостиная до 20 персон. Полностью оборудованная кухонная и обеденная зона с необходимой посудой. Коттедж выполнен из дорогих качественных матер ..., 31 фото",150000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/298443374,55.724799,37.152308
480,6.0,"35.0, сот.","Московская область, Одинцовский городской округ, Лесной Городок дп, улица Солмановское Поле, 136, шоссе Минское , шоссе Можайское",+79660515274,"Lesnoy Villa

Прямая аренда от собственника !

 Искали уютный, теплый, многофункциональный дом | коттедж в Московской области?
 Снять дом | снять коттедж большой семьей или кампанией?
 И чтобы был бассейн, джакузи, хаммам, сауна?

————————————————————

В Вашем распоряжении, роскошный двухэтажный деревянный, коттедж 500 кв, в стиле прованс, с просторной территорией 35 соток и террасой для отдыха большой компании

————————————————————

 Обязательно смотрите видео
Полная экскурсия по помещениям и приятный визуал от картинки!

————————————————————

 Для наших гостей мы поддерживаем в доме порядок и уют с заменой поломанной и грязной мебели
 Брендовая качественная мебель от премиум брендов

  Постельное белье
 Полотенца 

Средства для душа ZIELINSKI & ROZEN
————————————————————

Дом на 15 спальных мест (6 отдельных спален)
До 20 мест на банкете
2 уютные гостиные зоны с дровяными каминами

————————————————————

Самое классное это:
 Большой, вместительный, теплый бассейн с видом на сад
 Лежак ..., 9 фото",103000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/302478767,55.636494,37.202955
130,3.0,"8.0, сот.","Московская область, Павлово-Посадский городской округ, дом Гаврино, Новое Гаврино кп, проезд Сиреневый, 7, шоссе Горьковское , шоссе Щелковское","+79099970113, +79670783475","Новый год свободен 
Сдается с 30 по 2 на 3 ночи, стоимость 150 тысяч, размещение до 8 человек. 
Новогодние праздники: со 2 января стоимость ночи 30 тысяч, размещение до 6 человек, свыше 6 человек доплата 3 тысячи за каждого гостя. 

Добро пожаловать в Mirra_House! Это новый, очень красивый и уютный дом с дизайном из Pinterest.

Для спокойных компаний и семей.  

Прозрачные цены - никаких доплат. Стоимость зависит только от количества человек. 
Дом укомплектован всем необходимым - к нам можно ехать налегке. 

- Wi-Fi, кондиционер, проектор, саундбар JBL, Xbox 
- Мангальная и костровая зоны
- Постельное белье / полотенца 
- Полный набор посуды, включая праздничную сервировку
- Бытовые и средства гигиены
- Питьевая вода в доме
- Вся бытовая техника: посудомоечная машина, холодильник, пылесос и робот-пылесос, турка, тостер, духовка, чайник, микроволновка, варочная поверхность
- Настольные игры - большой выбор
- Закрытая парковка на 2 автомобиля

Особенности:
-  Удаленное заселение для ваше ..., 13 фото",30000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/310007817,55.816718,38.661379
1300,14.0,"15.0, сот.","Московская область, Ленинский городской округ, Лопатино пгт, шоссе Симферопольское , шоссе Варшавское",+79855840197,"#23688 

3 основных преимущества:
-вместительный банкетный зал
-современная архитектура
-близко от Москвы

Идеально для:
-пышных свадебных торжеств
-корпоративных мероприятий 
-ретритов/лагерей/семинаров

Сдается посуточно эксклюзивный коттеджа площадью 1300 м2, расположенный в 5 км от МКАДа по Симферополькому шоссе, в д. Лопатино.

Стоянка на 20 автомобилей.

Цоколь - бассейн 10*4, зона отдыха 100м2, 2 комнаты отдыха, русская баня на дровах (в стоимость аренды входят 4 часа), душ с обливным ведром.
1 этаж - банкетный зал 200м2 с подиумом 4*4 м (аудио аппаратура, светомузыка, проектор). Кухня со всей необходимой посудой и техникой. 2 санузла.
2 этаж - 4 номеров с санузлами, 2 двухкомнатных номера с санузлами, номер для молодоженов.
3 этаж - русский бильярд (11ф), теннис настольный, санузел, 2 восточные комнаты (по 7 спальных мест), 2 шестиместных номера, детская комната.

В доме 14 спален, 50 спальных мест.

За отдельную плату - услуги повара, официантов, горничной, организация банкето ..., 32 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/164583367,55.573699,37.597163
1100,8.0,"25.0, сот.","Московская область, Подольск городской округ, пос. Александровка, шоссе Симферопольское , шоссе Домодедовское","+79629484617, +79163706582","ТОП 65

Сдается красивый, современный, большой дом 1100 кв.м. с дизайнерским ремонтом из дорогих материалов в престижном поселке Московской области посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 18 км от МКАД по Симферопольскому шоссе.

УЧАСТОК: благоустроенный участок 25 соток. Ландшафтный дизайн. На участке посажен газон, множество лиственных деревьев. Имеются дорожки и фонари. Беседка и зона барбекю.

В ДОМЕ: 3 этажа, 8 спален, 22 спальных места. Каминный зал - гостиная на 30 персон. Полностью оборудованная кухня-столовая с выходом на террасу, необходимая посуда. СПА-зона. Комната бильярда. Рабочий кабинет. Терраса с садовой мебелью. Дискоклуб 50 кв.м. с барной стойкой.

СПА-зона: большой теплый бассейн 8*14*2,5 м, джакузи, сауна.

РАЗВЛЕЧЕНИЯ: караоке-зал, дискозал, каминный зал, бильярд, настольный теннис, ТВ, высокоскоростной интернет.

Организуем Ваше любое мероприятие: услуги поваров, официантов, ведущих, ди-джеев и пр.

СТОИМОСТЬ:
Будни от 50.0000 руб.
Сут ..., 19 фото",50000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/299443394,55.417408,37.609721
500,6.0,"20.0, сот.","Московская область, Истра городской округ, дом Горшково, шоссе Новорижское , шоссе Волоколамское",+79160509510,"Просторный 2-этажный жилой дом с шикарной архитектурой в стиле Райта общей площадью 500 кв м с панорамными окнами и высокими потолками 7 метров. 

На просторной террасе 140 м2 расположен бассейн с КРУГЛОГОДИЧНЫМ подогревом.
В доме 6 спален, в том числе мастер-спальня с ванной и панорамным видом на лесную чащу и бассейн, всего до 30 спальных мест, покерная игровая комната, сауна на каменной финской печи, а также музыкальная система с качественным звуком и простым подключением. 

На территории дома предусмотрена парковочная зона для 15 машин

Цены:

будний день от 80.000₽
при 100% предоплате цена 70.000₽

выходной от 140.000₽
при 100% предоплате цена 120.000₽

два выходных от 240.000₽
при 100% предоплате цена 220.000₽, 41 фото",140000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/305251497,55.888367,36.661657
600,8.0,"40.0, сот.","Московская область, Дмитровский городской округ, дом Акишево, шоссе Дмитровское , шоссе Рогачевское","+79629484617, +79163706582","ТОП: 113

Сдается уютный коттедж посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 22 км от МКАД по Дмитровскому, Ленинградскому или Рогачевскому шоссе

УЧАСТОК: благоустроенный 40 соток. Ландшафтный дизайн. Вымощены дорожки. Множество хвойных и лиственных деревьев, а также кустарников. Посажен газон. Мангальная зона. Отдельно стоящий СПА-комплекс. Парковка на 10 автомобилей.

В ДОМЕ: 350 кв.м., 2 этажа, 6 спальни, до 20 спальных мест, кондиционеры.
Прихожая с диванчиками. Огромная кухня с необходимой посудой и техникой с обеденной зоной. Гостиная на 25 персон. На 2- этаже спальни.

СПА-комплекс: 250 кв.м, 2 спальни, до 6 спальных мест. Просторная терраса с теннисным столом, подогреваемый бассейн 7*4*1,8, ворота для игр в воде, шезлонги, хаммам на 6-7 персон, 2 душевые, 2 с/у, русский бильярд, кухня со всей необходимой посудой и техникой. Комната бильярда.

РАЗВЛЕЧЕНИЯ: СПА-комплекс, теннисный стол, русский бильярд, интернет, телевизор

СТОИМОСТЬ зависит от количества ..., 38 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Душевая кабина, Стиральная машина, Кондиционер, Холодильник",https://www.cian.ru/rent/suburban/309197898,56.067746,37.392517
1300,11.0,"20.0, сот.","Московская область, Ленинский городской округ, Лопатино пгт, шоссе Симферопольское , шоссе Варшавское","+79031021780, +79165347521","ТОП: 53

Сдается брутальный особняк площадью 1300 кв.м. посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 10 км от МКАД по Варшавскому шоссе

УЧАСТОК: благоустроен кирпичом 20 соток. На территории имеется беседка на 15 персон с печью и мангалом. Парковка на 20 автомобилей. 

В ДОМЕ: 7 однокомнатных спален + 2 двухкомнатных спальни (итого 11 спален), до 50 спальных мест. Банкетный зал 200 кв.м. на 100 персон со сценой и барной стойкой. Кухня  столовая с посудой и необходимой техникой. На втором этаже гостиная с русским бильярдом 

СПА-зона: подогреваемый бассейн 10*4*1,8 м, диванчики, спальня, баня на дровах, душевая с обливным ведром, караоке.

РАЗВЛЕЧЕНИЯ: СПА-зона, караоке, русский бильярд, танцпол.

СТОИМОСТЬ зависит от количества гостей и сезона:
Будни от 40 000 руб.
Сутки выходного дня от 80000 руб.
Полные выходные от 140000 руб.
Новый год 31.12  02.01: от 390000 руб.
Заезд после 17:00 выезд до 14:00.

ЗАЛОГ (депозит, обеспечительный платеж) от 20000 руб. Оплачив ..., 25 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник",https://www.cian.ru/rent/suburban/298828486,55.573699,37.597163
1300,10.0,"15.0, сот.","Московская область, Ленинский городской округ, Лопатино пгт, 7, шоссе Симферопольское , шоссе Варшавское",+79154093764,"Особняк 1300м вместимостью до 150 человек идеально подойдет для проведения свадеб, корпоративов, семинаров, тренингов, конференций.

ОБ УЧАСТКЕ:
-Территория 15 соток.
-Беседка с мангальной зоной на 25 человек.
-Парковка на 20 машин

О ДОМЕ: 1300м.кв., 3 этажа
Комфортное размещение на банкет до 100 человек, на фуршет до 150 человек. Всего 10 спален ( 8 изолированных). На ночь до 50 человек.
В доме:

цокольный этаж:
 бассейн подогреваемый 10*4м
 баня
 с/у
 спальня (двухспальная кровать+диван раскладной)
 комната отдыха (2 дивана раскладных)
 танцпол
 душ
1 этаж:
 кухня
 банкетный зал 200м с танцполом и сценой 4*4 м (аудио аппаратура, караоке, светомузыка, проектор) ( до 100 человек)
 холл
 2 с/у
2 этаж:
 балкон
 спальня ( двухспальная кровать+раскладной диван)
 спальня проходная ( двухспальная кровать+ диван раскладной +с/у+душ)
 спальня ( двухспальная кровать+диван раскладной)
 спальня ( двухспальная кровать)
 спальня проходная ( двухспальная кровать+диван раскладной+с/у+душ)
 спальня ( ..., 47 фото",150000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Телевизор, Интернет",https://www.cian.ru/rent/suburban/272327350,55.573699,37.597163
1150,5.0,"20.0, сот.","Московская область, Одинцовский городской округ, с. Знаменское, шоссе Рублево-Успенское , шоссе Северный объезд Одинцова","+79163706582, +79169830211","ТОП 70


Сдается особняк в современном авторском дизайне с панорамными окнами площадью 1150 кв.м. посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 15 км от МКАД по Рублево-Успенскому шоссе в элитном поселке.

УЧАСТОК: благоустроенный участок 20 соток с ландшафтным дизайном. Посажен газон. Фонари по всему участку. Множество лиственных, плодовый и хвойных деревьев. Беседка с зоной барбекю. 10 парковочных мест. Просторная и ухоженная придомовая территория. Несколько пространств для выездных регистраций. Эффектная терраса с садовыми качелями и садовой мебелью. Искусственный пруд.

В ДОМЕ: 3 этажа, 5 просторных спален; до 18 спальных мест. Множество балконов. На первом этаже столовая с кухней-островком. Гостиная. Просторный холл. Гардеробная. СПА-зона. На втором этаже просторный каминный зал с выходом на террасу  балкон, зона бильярда.

СПА-зона: в стиле шале, пространство с панорамными окнами и высокими потолками; бассейн 16*5*2 м с водопадом, сауна, хаммам, душевая.

СТ ..., 18 фото",150000 руб/день,Можно с животными,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/299580635,55.736366,37.150448
1100,8.0,"17.0, сот.","Московская область, Одинцовский городской округ, дом Подушкино, 47А, шоссе Рублево-Успенское , шоссе Северный объезд Одинцова","+79163706582, +79629484617","ТОП: 36
 
Сдается шикарный особняк площадью 1100 кв.м. посуточно и на выходные в закрытом охраняемом коттеджном поселке. Возможна аренда на месяц.
 
Дом находится в 7 км от МКАД по Рублево-Успенскому шоссе.
 
УЧАСТОК: 17 соток. Хвойные и лиственные деревья. Фонтан, терраса, летняя кухня  столовая с тандыром и печью. Гостевой домик с 2 спальнями. Автоматические ворота. Парковка на 5 автомобилей.
 
В ДОМЕ: 8 спален, до 25 спальных мест, 2 большие гостиные, большой каминный зал до 45 персон. Терраса на первом и втором этажах. Множество балконов. Кухня с посудой и необходимой техникой. На цокольном этаже отапливаемый гараж на 2 автомобиля. Бильярдная комната.
 
СПА-зона: подогреваемый бассейн, сауна, комната отдыха.
 
РАЗВЛЕЧЕНИЯ: настольный теннис, бильярд, СПА-зона, телевизор, интернет, камин.
 
СТОИМОСТЬ зависит от количества гостей и сезона:
Будни от 50000 руб.
Сутки выходного дня от 90000 руб.
Полный выходные от 120000 руб.
Новый год 31.12  02.01: от 650000 руб.
Заезд после 15:00 выез ..., 36 фото",50000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/305291849,55.724799,37.152308
240,4.0,"10.0, сот.","Московская область, Раменский городской округ, Москворечье СНТ, 107, шоссе Каширское , шоссе Володарское","+79651101648, +79651102035","Коттедж SMALLSWEDEN.ru до 10 взрослых. Для тех кто любит и ценит комфорт! Авторский дом в шведском стиле 20 км по Каширскому шоссе. Дом кирпичный, НЕ каркасник. От м.Домодевская 30 мин. 
 В доме предусмотрено все для комфортного проживания. современная кухня со всей необходимой техникой, зал с обеденной зоной на 8-10 чел.  4 спальни и детская игровая зона.Интерьер дополняет эксклюзивная авторская мебель. Банный чан как термальный источник работает круглый год! Бассейн функционирует с мая по сентябрь!
!!!!!Тарифы на проживаниеЦЕНЫ!!!!

 АКТУАЛЬНЫ СЕНТЯБРЬ-ДЕКАБРЬ 2024Г.
Пн-чт 10000 руб в сутки при проживании двух людей. Бронь от 2-х дней . баня и чан оплачивается отдельно
4 дня с пн по чт до 4 взр- 60000 т.р;
Пн-чт 25000т;
вс-пн 25000 т;
сб-вс 40000 т;
Пт-вск 60000 т; 
Пн-чт с октября по апрель стоимость 10000т.р при проживании 2-х(двух) человек. Без бани и чана.
В он-лайн календаре цена в будний день указана за четверых!!!
Бан в стоимость не входит !!! 

От 3 ночей действуют скидки!!!  ..., 33 фото",40000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/259400164,55.519198,37.911959
720,7.0,"100.0, сот.","Московская область, Химки городской округ, дом Жигалово, улица Лесная, 4, шоссе Ленинградское , шоссе Шереметьевское",+79647823315,"# 24330   Дом ""Монэ""

3 ОСНОВНЫХ ПРЕИМУЩЕСТВА:
- современный архитектура
- просторный зал с камином и витражными окнами
- рядом аэропортом Шереметьево

ИДЕАЛЬНО ДЛЯ:
-торжественные мероприятия
-камерные мероприятия
-ретриты/тренинги

Прекрасный коттедж на Ленинградском шоссе для посуточной аренды, который станет идеальным местом для проведения любого торжества. 

Дом находится в 10мин езды от аэропорта Шереметьево.

Коттедж имеет уникальный архитектурный стиль. Общая площадь дома составляет 500 м2, что позволяет разместить до 20 гостей одновременно в 6 уютных спальнях.

Банкетный зал идеально подойдет для проведения свадебного банкета или дня рождения. Также в вашем распоряжении будет гостиная с камином, где вы сможете приятно провести время. Дом оснащен премиальной мебелью высокого качества. 

А если вы хотите отдохнуть и расслабиться после насыщенного дня, то мы предлагаем вам посетить сауну и теплый бассейн (размеры 6*2,5м, глубина 1,5-1,9 м). Это идеальное место для того, чтобы нас ..., 39 фото",150000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/298880911,55.987236,37.288052
186,4.0,"7.0, сот.","Московская область, Истра городской округ, Грин Лаундж кп, улица Тюльпанная, шоссе Волоколамское , шоссе Пятницкое",+79152972391,"Предлагается к сдаче в новогодние праздники коттедж 186 м2 с размещением до 10 человек!

Каждый уголок дома мы сделали максимально комфортным и стильным. Вы сможете перезагрузиться от городской суеты в этом спокойном и красивом месте. Дом наполнен всем необходимым для идеального отдыха.

О поселке: Пoселок Грин Лаудж - охраняемый, закрытая территория, расположен в окружении лесного массива в экологически чистом районе в Подмосковье на берегу Истринского водохранилища. Для вашего комфорта обустроены несколько зон отдыха для прогулок, купания и водных развлечений, занятий спортом, детские площадки.

Где можно провести время помимо домика?

В 10 мин ходьбы есть лес для прогулок и берег Истринского водохранилища, где можно искупаться или половить рыбу. В 7 км развлечения на любое время года: катание на коньках, санках, снегоходах; прогулки на катерах, виндсерфинг, вейкбординг, катание на сапах. В 20 км Новоиерусалимский монастырь, существующий уже более 300 лет, и музейно-выставочный компл ..., 30 фото",57000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/311171026,56.061529,36.752477
102,2.0,"6.0, сот.","Московская область, Волоколамский городской округ, Ручей СНТ, 49вл2, шоссе Новорижское , шоссе Волоколамское",+79652894009,"с 31.12 по 02.01 дом сдан!!!
Предлагаем Вам уникальную возможность ощутить на себе все прелести дачного отдыха!!! 
Проведите незабываемые дни в нашем уютном доме!
Натуральный деревянный Дом и участок будет находится в полном Вашем распоряжении
На территории есть :
  удобная парковка для двух автомобилей, 
  автоматические ворота
  крытая, просторная мангальная зона, с мебелью и несколькими сценариями освещения, где Вы можете приготовить мясо, наслаждаясь пением птиц и видом на пруд с водопадом( уголь, розжиг, решетки предоставляются)
В доме с комфортом могут разместиться 8 человек:
      две изолированные спальни с большими двуспальными кроватями. Одна из спален с двуспальной кроватью и диваном.
      Комната свободной планировки с двумя раскладными диванами для всей семьи
        Гостиная, совмещенная с кухней и большим раскладным диваном
Цена указана при заселении 4 гостей ( дети до 7 лет бесплатно)
Каждый последующий гость + 1000 руб
Максимальное количество гостей для заселения 10 ч ..., 38 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Гараж, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/309668888,56.13914,36.05586
1150,6.0,"30.0, сот.","Московская область, Химки городской округ, дом Большаково, шоссе Пятницкое , шоссе Ленинградское",+79660531394,"Сдается посуточно просторный, уютный коттедж Большаково 12 км от мкад по Пятницкому шоссе в стиле шале 4-х этажный кирпич общей плрщадью - 1150 кв.м. с возможностью комфортабельного размещения до 40 гостей.
В доме 11 комнат, 9  спален, 7  санузлов.
 Большой банкетный зал 200 кв.м. с высокими панорамным окнами и стеклянной крышей, вместимостью до 100 персон. Живописная территория с зоной барбекю, летняя просторная веранда с баром и кальяном, 5 стилизованных спален с индивидуальными санузлами, мансардный этаж с 9-ю полутороспальными кроватями и отдельной комнатой. Гостиная с камином, кухня, оснащенная всем необходимым современным оборудование, большой бассейн 12 х 4м и финская сауна. Мощное музыкальное оборудование, бильярд. Живописная собственная территория 30 соток с лужайкой и внутренней парковкой на 15 автомобилей. 
Цена указана до 10 гостей, далее 1.000 рублей с гостя.
Сутки (будни)  25.000 рублей.
Выходные:
С пятницы по субботу  45.000 рублей.
С Субботы по Воскресенье  45.000 рубле ..., 31 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/301975019,55.892748,37.292283
400,5.0,"9.0, сот.","Москва, Мосрентген поселение, дом Дудкино, Дудкино СНТ, улица Звездная, 136, шоссе Киевское , шоссе Сколковское",+79855840197,"#24503

3 ОСНОВНЫХ ПРЕИМУЩЕСТВА:
-рядом с Москвой и метро
-баня на дровах и бассейн
-красивая архитектура и ландшафтный дизайн

ИДЕАЛЬНО ДЛЯ:
-семейного отдыха
-свадьбы / корпоративы
-дней рождений/юбилеев

Расположен в деревне ""Дудкино"", это в 1 км от МКАД по Киевскому шоссе. Рядом с домом есть станция метро ""Румянцево"", от нее 10 минут пешком до самого дома.

Дом посуточно площадью 400 кв.м, расположенный на участке 9 соток.

Большая кухня-гостиная, за столом могут разместиться до 30 гостей.

Телевизор Philips с мощными колонками и караоке.

На кухне: микроволновка Samsung, сенсорная плита Bosh, холодильник Bosh, посудомоечная машина Neff. Предоставляется необходимая посуда для готовки и сервировки .

Бассейн 3*7 с температурой 25 градусов, баня на дровах.

5 спален, со своими санузлами, с двуспальными кроватями (10 спальных мест), 4 односпальные кровати и два двуспальных дивана. Всего в доме 20 спальных мест.

Аккуратный участок в 9 соток с беседкой и мангальной зоной.

Включено в с ..., 50 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/303647759,55.631381,37.445096
800,12.0,"15.0, сот.","Московская область, Химки городской округ, дом Голиково, Золотые Купола мкр, улица Звездная, 110, шоссе Ленинградское , шоссе Новосходненское",+79660562518,"Предлагаю в аренду от собственника на длительное время или посуточно Абсолютно НОВЫЙ коттедж в охраняемом КП Фэмили Клаб (мкр. Золотые Купола) с беспроблемным въездом/выездом для гостей.
Коттедж для проживания и  ПРЕКРАСНОГО отдыха в замечательной компании на 15-20 человек, выезда большой семьей.
В основном доме:
 +ПРОСТОРНАЯ ГОСТИНАЯ на 20 гостей с санузлом, колонка LG 1200Вт с караоке,  зажигательная светомузыка. Шахматы, нарды, домино. Sony PlayStation 4.  
 +ОБОРУДОВАННАЯ КУХНЯ с посудомоечной машиной; посуда и приборы на 30 чел. 
 +БАНКЕТНЫЙ ЗАЛ С КАМИНОМ на 20 гостей. 
 + БАР с кофемашиной Delonghi, столовая с ТВ. 
 + зона для курения кальяна. 
+ Дополнительная опция: Массажное кресло (2500₽/сутки).
+ 8 номеров:
6 отдельных номеров с двуспальными кроватями
1 номер с двуспальной кроватью и диваном в зимнем саду,
1 номер с двуспальной кроватью, диваном в зимнем саду и доп. кроватью. В каждом номере свой санузел, высококачественное пастельное белье, смарт ТВ!
 Комната отдыха при вых ..., 50 фото",50000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/259983255,55.861181,37.467194
